_id,userId,modeId,timestamp,metrics.itemsCollected,metrics.heartsCollected,metrics.coinsCollected,metrics.timeNearInteractables,metrics.pickupAttempts,metrics.enemiesHit,metrics.damageDone,metrics.timeInCombat,metrics.distanceTraveled,metrics.timeOutOfCombat,metrics.timeSprinting,events.playerDeath,__v
696b3c0faa3e566deb22ea21,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:06:47.106Z,2,2,0,8.26951790228486,5,0,0,0,9077.624647420482,32.02350439503789,3.4080912992358208,false,0
696b3c2daa3e566deb22ea24,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:07:17.029Z,5,2,3,1.244608499109745,6,3,7,2.696336902678013,11524.26394967118,27.29494009912014,6.113565199077129,false,0
696b3c4baa3e566deb22ea27,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:07:47.029Z,1,0,1,1.5333640947937965,5,15,58,12.763056300580502,5187.301949614993,17.247162394225597,1.8994993977248669,false,0
696b3c69aa3e566deb22ea2a,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:08:17.010Z,3,1,2,0.9433546997606754,5,6,22,2.749209303408861,11776.69439063345,27.244446899741888,12.075039900839329,false,0
696b3c87aa3e566deb22ea2d,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:08:47.256Z,3,2,1,1.3709452971816063,5,12,40,12.886108499020338,8175.212180070006,17.11247429996729,3.9898800998926163,false,0
696b3ca5aa3e566deb22ea30,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:09:17.009Z,2,2,0,6.176720101386309,9,0,0,0,11855.539153182825,30.00080780312419,14.198403399437666,false,0
696b3cc3aa3e566deb22ea33,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:09:47.025Z,2,0,2,1.7338946983218193,4,0,0,0.9920962005853653,10447.994323227736,29.00514729693532,2.789877399802208,false,0
696b3ce1aa3e566deb22ea36,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:10:17.026Z,2,1,1,0.7179630994796753,2,20,63,16.636910896748304,5842.173380408904,13.372265305370092,4.250105798244476,false,0
696b3cffaa3e566deb22ea39,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:10:47.010Z,2,1,1,1.1657925993204117,2,7,28,6.636690799146891,9848.986023707195,23.359048299491405,5.2482801005244255,false,0
696b3d1daa3e566deb22ea3c,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:11:17.004Z,2,0,2,1.1535602025687695,4,17,70,16.672865197062492,4147.418557644111,13.321053698658943,0,false,0
696b3d3baa3e566deb22ea3f,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:11:47.028Z,3,2,1,0.581649299710989,4,6,23,4.316940099000931,11840.694269577358,25.69448719918728,6.615263499319553,false,0
696b3d59aa3e566deb22ea42,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:12:17.013Z,3,2,1,0.9695288985967636,3,8,34,7.372322998940945,10234.222760696246,22.62135049700737,4.626349899917841,false,0
696b3d77aa3e566deb22ea45,696b3bc5aa3e566deb22ea19,1,2026-01-17T13:12:47.049Z,3,0,3,0.8296262994408607,3,9,34,9.114549495279789,9361.718226209345,20.889147102832794,7.918378699570894,false,0
