_id,userId,timestamp,sessionId,location,cause,__v
696bd8b9e17a5b0f1bb5a952,696bb91be00b9706f38e9c9c,2026-01-18T00:15:13.748Z,unreal_death_1768675513748,Unknown,Unknown,0
696bd9e1e17a5b0f1bb5a970,696bb91be00b9706f38e9c9c,2026-01-18T00:20:09.734Z,unreal_death_1768675809734,Unknown,Unknown,0
696bda5ae17a5b0f1bb5a97c,696bb91be00b9706f38e9c9c,2026-01-18T00:22:10.647Z,unreal_death_1768675930647,Unknown,Unknown,0
696bdad2e17a5b0f1bb5a992,696bb91be00b9706f38e9c9c,2026-01-18T00:24:10.351Z,unreal_death_1768676050351,Unknown,Unknown,0
696bdb6ee17a5b0f1bb5a9aa,696bb91be00b9706f38e9c9c,2026-01-18T00:26:46.609Z,unreal_death_1768676206609,Unknown,Unknown,0
696bdc20e17a5b0f1bb5a9ce,696bb91be00b9706f38e9c9c,2026-01-18T00:29:44.195Z,unreal_death_1768676384195,Unknown,Unknown,0
696bdd94e17a5b0f1bb5aa16,696bb91be00b9706f38e9c9c,2026-01-18T00:35:56.481Z,unreal_death_1768676756481,Unknown,Unknown,0
696bde05e17a5b0f1bb5aa2b,696bb91be00b9706f38e9c9c,2026-01-18T00:37:49.402Z,unreal_death_1768676869402,Unknown,Unknown,0
696bde42e17a5b0f1bb5aa3a,696bb0538f7ebf2f61ad3826,2026-01-18T00:38:50.022Z,unreal_death_1768676930022,Unknown,Unknown,0
696bde53e17a5b0f1bb5aa40,696bb91be00b9706f38e9c9c,2026-01-18T00:39:07.468Z,unreal_death_1768676947468,Unknown,Unknown,0
696bdf34e17a5b0f1bb5aa58,696bb0538f7ebf2f61ad3826,2026-01-18T00:42:52.648Z,unreal_death_1768677172648,Unknown,Unknown,0
696be0e0e17a5b0f1bb5aa91,696bb0538f7ebf2f61ad3826,2026-01-18T00:50:00.589Z,unreal_death_1768677600589,Unknown,Unknown,0
696c4fa587fbc37a6c0bd6df,696c4e5987fbc37a6c0bd6a6,2026-01-18T08:42:37.658Z,unreal_death_1768705957658,Unknown,Unknown,0
